text,intent
Please I am feeling emotionally weak because I need help,emotional_support
Can you Please remind me to take my pills right now,medication_reminder
Hey Book doctor appointment for me because I need help,doctor_booking
Urgently How can I improve mobility,exercise_suggestion
Today What foods improve energy as soon as possible,diet_suggestion
Now I need transport assistance for me,transport_booking
Nobody talks to me anymore right now,emotional_support
Today When should I take insulin right now,medication_reminder
Can you Doctor appointment book koro,doctor_booking
Kindly Exercise suggest koro as soon as possible,exercise_suggestion
Kindly What should I eat for good health right now,diet_suggestion
Today Can you book cab for hospital,transport_booking
Now I cannot sleep because of stress as soon as possible,emotional_support
Hey Medicine khete bhule gechi because I need help,medication_reminder
Urgently Can you help me visit a doctor please,doctor_booking
Now How can I improve mobility right now,exercise_suggestion
How can I improve nutrition for me,diet_suggestion
Now Help me arrange transportation right now,transport_booking
Urgently I feel worried about my future right now,emotional_support
Urgently Please remind me to take my pills,medication_reminder
Please Please help me contact a doctor because I need help,doctor_booking
Can you Can elderly people do stretching,exercise_suggestion
Kindly Suggest diabetic diet as soon as possible,diet_suggestion
Today Book transport for hospital visit today,transport_booking
Hey i am feeling scared about my condition for me,emotional_support
Can you I forgot to take my tablets,medication_reminder
Urgently Can you help me visit a doctor right now,doctor_booking
Hey Recommend simple exercise for me because I need help,exercise_suggestion
Recommend soft food for elderly for me,diet_suggestion
Hey Can you book cab for hospital for me,transport_booking
Today Nobody talks to me anymore for me,emotional_support
Kindly Please remind me to take my pills because I need help,medication_reminder
Now Please help me contact a doctor please,doctor_booking
Mujhe exercise suggest karo,exercise_suggestion
Please what should i eat for good health today,diet_suggestion
Hey Can you book cab for hospital right now,transport_booking
Can you i feel sad and alone today,emotional_support
Please Please remind me to take my pills for me,medication_reminder
Please help me contact a doctor please,doctor_booking
Now Suggest yoga for elderly as soon as possible,exercise_suggestion
How can i improve nutrition please,diet_suggestion
Today Book transport for hospital visit for me,transport_booking
Kindly I feel worried about my future for me,emotional_support
Can you I need medicine reminder support because I need help,medication_reminder
Please I want to schedule a health checkup right now,doctor_booking
Urgently Exercise suggest koro please,exercise_suggestion
Urgently recommend nutrition plan today,diet_suggestion
Can you i need help reaching hospital for me,transport_booking
Can you I feel emotionally broken please,emotional_support
Please When should I take insulin because I need help,medication_reminder
Urgently Can you help me visit a doctor for me,doctor_booking
Hey How can I stay active because I need help,exercise_suggestion
How can i improve nutrition as soon as possible,diet_suggestion
Urgently Help me travel to doctor clinic for me,transport_booking
Kindly I feel depressed today because I need help,emotional_support
Can you I forgot my blood pressure medicine because I need help,medication_reminder
Now Can you help me visit a doctor please,doctor_booking
Today Suggest yoga for elderly please,exercise_suggestion
Now How can I improve nutrition right now,diet_suggestion
Kindly Help me arrange transportation today,transport_booking
Hey I am feeling mentally exhausted as soon as possible,emotional_support
Remind me to take my medicine please,medication_reminder
Hey I want to schedule a health checkup for me,doctor_booking
Urgently Recommend light exercise as soon as possible,exercise_suggestion
Today How can I improve nutrition for me,diet_suggestion
Please Transport arrange koro for me,transport_booking
Can you i feel mentally exhausted today,emotional_support
Please Mujhe medicine lena yaad dilao right now,medication_reminder
Today I want to schedule a health checkup today,doctor_booking
Can you Exercise suggest koro because I need help,exercise_suggestion
Now Mujhe healthy diet chahiye because I need help,diet_suggestion
Kindly Help me travel to doctor clinic right now,transport_booking
Urgently I feel scared about my condition please,emotional_support
I forgot to take my tablets today,medication_reminder
Can you Can you help me visit a doctor as soon as possible,doctor_booking
Urgently recommend walking exercises please,exercise_suggestion
Can you Suggest soft food for elderly today,diet_suggestion
Help me travel to doctor clinic today,transport_booking
Now I am feeling emotionally weak please,emotional_support
Hey Remind me to take my medicine,medication_reminder
Mujhe doctor appointment chahiye right now,doctor_booking
Recommend simple exercise for me please,exercise_suggestion
Urgently Suggest diabetic diet,diet_suggestion
Can you I need help reaching hospital because I need help,transport_booking
Can you I am feeling nervous and anxious please,emotional_support
Can you I missed my diabetes tablet today,medication_reminder
Now I want to schedule a health checkup today,doctor_booking
Now How can I improve mobility today,exercise_suggestion
Hey what foods improve energy today,diet_suggestion
Now mujhe hospital jane ke liye cab chahiye because i need help,transport_booking
Please i am feeling emotionally down today,emotional_support
Kindly Mujhe medicine lena yaad dilao,medication_reminder
I want to schedule a health checkup as soon as possible,doctor_booking
Urgently Mujhe exercise suggest karo,exercise_suggestion
Hey mujhe healthy diet chahiye because i need help,diet_suggestion
Hey Book transport for hospital visit please,transport_booking
Can you I feel very unhappy today right now,emotional_support
Kindly medicine khete bhule gechi right now,medication_reminder
Now Mujhe exercise suggest karo because I need help,exercise_suggestion
Can you Suggest diabetic diet because I need help,diet_suggestion
Please i need transport assistance as soon as possible,transport_booking
Please I cannot sleep because of stress,emotional_support
Medicine khete bhule gechi because I need help,medication_reminder
Doctor appointment book koro today,doctor_booking
Can you Suggest walking exercises as soon as possible,exercise_suggestion
Now Recommend balanced diet as soon as possible,diet_suggestion
Please I feel depressed today right now,emotional_support
Hey I forgot to take my tablets because I need help,medication_reminder
Can you Book doctor appointment for me as soon as possible,doctor_booking
Today How can I improve mobility today,exercise_suggestion
Today How can I improve nutrition as soon as possible,diet_suggestion
Hey I need transport assistance as soon as possible,transport_booking
Hey I feel anxious about my health please,emotional_support
Urgently Please remind me to take my pills for me,medication_reminder
Please Doctor appointment book koro because I need help,doctor_booking
Urgently Recommend simple exercise for me because I need help,exercise_suggestion
Please What should I eat for good health right now,diet_suggestion
Urgently Book transport for hospital visit,transport_booking
Please I miss my family please,emotional_support
Can you I missed my diabetes tablet right now,medication_reminder
Urgently Mujhe exercise suggest karo right now,exercise_suggestion
Hey Recommend diabetic diet as soon as possible,diet_suggestion
Kindly I need transport assistance for me,transport_booking
Hey Nobody talks to me anymore as soon as possible,emotional_support
Urgently I missed my diabetes tablet,medication_reminder
Now I want to schedule a health checkup for me,doctor_booking
Can you Can elderly people do stretching for me,exercise_suggestion
Urgently Recommend balanced diet today,diet_suggestion
Transport arrange koro today,transport_booking
Urgently I cannot sleep because of stress for me,emotional_support
Please i need medicine reminder support,medication_reminder
Can you help me visit a doctor right now,doctor_booking
Now How can I improve mobility because I need help,exercise_suggestion
Urgently I need help reaching hospital because I need help,transport_booking
Can you I am feeling ignored by everyone as soon as possible,emotional_support
Please please remind me to take my pills because i need help,medication_reminder
Mujhe doctor appointment chahiye because I need help,doctor_booking
Urgently can elderly people do stretching today,exercise_suggestion
Hey Recommend balanced diet because I need help,diet_suggestion
Hey i need transport assistance,transport_booking
I am feeling mentally stressed because I need help,emotional_support
I forgot to take my tablets please,medication_reminder
Urgently Recommend simple exercise for me,exercise_suggestion
Recommend balanced diet,diet_suggestion
Help me travel to doctor clinic as soon as possible,transport_booking
Hey I need someone to talk to,emotional_support
Now Mujhe medicine lena yaad dilao because I need help,medication_reminder
Kindly book doctor appointment for me right now,doctor_booking
Can you recommend chair yoga for seniors right now,exercise_suggestion
Can you Recommend nutrition plan today,diet_suggestion
Can you Help me travel to doctor clinic,transport_booking
I cannot sleep because of stress,emotional_support
Hey When should I take insulin because I need help,medication_reminder
I need a doctor consultation please,doctor_booking
Urgently Recommend yoga for elderly as soon as possible,exercise_suggestion
Kindly Recommend balanced diet please,diet_suggestion
Can you book cab for hospital right now,transport_booking
Please I feel depressed today,emotional_support
I forgot my blood pressure medicine as soon as possible,medication_reminder
Doctor appointment book koro,doctor_booking
Hey Recommend light exercise today,exercise_suggestion
Please Healthy khabar suggest koro,diet_suggestion
Book transport for hospital visit,transport_booking
Today I am feeling emotionally down please,emotional_support
Can you Please remind me about medicines because I need help,medication_reminder
Kindly Mujhe doctor appointment chahiye for me,doctor_booking
Kindly Suggest walking exercises,exercise_suggestion
Kindly Healthy khabar suggest koro as soon as possible,diet_suggestion
Today transport arrange koro,transport_booking
Now I feel sad and alone,emotional_support
Urgently Remind me to take my medicine right now,medication_reminder
Now Doctor appointment book koro,doctor_booking
Please Suggest chair yoga for seniors right now,exercise_suggestion
Can you Help me travel to doctor clinic please,transport_booking
Can you I feel emotionally weak please,emotional_support
Now Please remind me to take my pills right now,medication_reminder
